,ID Candidato,Género,Carrera Gestional,Avance,Semestres Totales,Postulados Si/No,Evaluados Si/No,Altamente Recomendado,Operaciones-Calidad,MTTO-DIMA,Comercial-Planeamiento,DIGI-SC,Resto-Soft,Apto/No Apto,Destacado Pym,Ingles,Apto/ Destacado,Ingresados Si/No
988,988.0,F,Negocios Internacionales,5.0,8.0,Si,Si,,5,5,1,1,1,1,1,0,2,1
989,989.0,M,Ing. Industrial,6.0,9.0,Si,Si,,1,1,1,3,5,1,0,0, ,0
990,990.0,M,Negocios Internacionales,5.0,8.0,Si,Si,,1,3,5,1,1,1,1,0, ,0
991,991.0,M,Ing. Industrial,7.0,8.0,Si,Si,,1,1,1,1,1,0,0,0, ,0
992,992.0,F,Negocios Internacionales,5.0,8.0,Si,Si,,5,5,1,1,5,1,1,0, ,0
993,993.0,F,Negocios Internacionales,5.0,8.0,Si,Si,,5,3,1,1,1,1,1,0, ,0
994,994.0,M,Negocios Internacionales,5.0,8.0,Si,Si,,1,1,1,1,3,1,0,0,1,1
995,995.0,M,Negocios Internacionales,5.0,8.0,Si,Si,,1,1,1,1,1,0,0,0, ,0
996,996.0,M,Ing. Industrial,5.0,8.0,Si,Si,,1,1,1,1,1,0,0,0, ,0
997,997.0,M,Negocios Internacionales,5.0,8.0,Si,Si,,1,5,1,3,3,1,1,0, ,0
998,998.0,M,Ing. Industrial,5.0,8.0,Si,Si,,1,3,1,3,3,1,0,0, ,0
999,999.0,F,Administración,5.0,8.0,Si,Si,,0,0,0,0,0,0,0,0, ,0
1000,1000.0,M,Administración,5.0,8.0,Si,Si,,0,0,0,0,0,0,0,0, ,0
1001,1001.0,F,Negocios Internacionales,5.0,8.0,Si,Si,,5,1,1,1,1,1,1,0,2,1
1002,1002.0,M,Ing. Industrial,5.0,8.0,Si,Si,,1,1,1,1,1,0,0,0, ,0
1003,1003.0,M,Ing. Industrial,5.0,8.0,Si,Si,,1,5,1,1,1,1,1,0,2,1
